date,futures_price,futures_return,commodity,price_source,usd_index,interest_rate,vix,enso_oni,disaster_event_count,disaster_storm_count,disaster_fire_count,disaster_flood_count,temperature_anomaly,precipitation_anomaly,drought_index,extreme_heat_events
2018-03-31,387.75,0.034768999099374476,corn,ZC=F,107.94717499999999,1.7,19.023809523809526,-0.57,6.0,0.0,1.0,0.0,,,,
2018-04-30,392.5,0.012175735165814494,corn,ZC=F,107.94335714285714,1.76,18.267619047619046,-0.39,110.0,0.0,6.0,79.0,,,,
2018-05-31,394.0,0.003814372075471084,corn,ZC=F,111.04704090909091,1.86,14.124545454545455,-0.13,39.0,0.0,2.0,33.0,,,,
2018-06-30,350.25,-0.1177037240808172,corn,ZC=F,112.84441904761906,1.9,13.678095238095239,0.06,65.0,0.0,15.0,0.0,,,,
2018-07-31,372.25,0.06091848634700181,corn,ZC=F,113.05953333333333,1.96,13.147619047619049,0.14,46.0,0.0,24.0,5.0,,,,
2018-08-31,351.0,-0.058779448098253084,corn,ZC=F,113.83163043478261,2.03,12.54695652173913,0.27,80.0,0.0,14.0,18.0,,,,
2018-09-30,356.25,0.01484650811699506,corn,ZC=F,114.07866315789474,2.13,12.910526315789474,0.53,405.0,0.0,3.0,32.0,,,,
2018-10-31,363.25,0.01945857086753211,corn,ZC=F,114.83125909090909,2.25,19.35217391304348,0.81,327.0,0.0,0.0,30.0,,,,
2018-11-30,366.5,0.008907218876313294,corn,ZC=F,116.16904500000001,2.33,19.38904761904762,0.97,30.0,0.0,10.0,0.0,,,,
2018-12-31,375.0,0.022927504643704744,corn,ZC=F,116.2118052631579,2.37,24.953157894736844,0.92,38.0,0.0,0.0,0.0,,,,
2019-01-31,376.5,0.00399202126953746,corn,ZC=F,114.44248999999999,2.37,19.57238095238095,0.89,24.0,0.0,0.0,0.0,,,,
2019-02-28,362.0,-0.03927383541417662,corn,ZC=F,114.41300555555556,2.39,15.234736842105262,0.86,62.0,0.0,0.0,37.0,,,,
2019-03-31,356.5,-0.015309971971420921,corn,ZC=F,114.78351904761905,2.4,14.485238095238095,0.84,181.0,0.0,1.0,169.0,,,,
2019-04-30,353.25,-0.009158218289713638,corn,ZC=F,114.90375454545455,2.38,12.949047619047619,0.77,185.0,0.0,0.0,81.0,,,,
2019-05-31,427.0,0.1896079916639879,corn,ZC=F,115.95738181818182,2.35,16.721818181818183,0.64,130.0,0.0,0.0,61.0,,,,
2019-06-30,420.25,-0.015934240939899702,corn,ZC=F,115.42707,2.17,15.836000000000002,0.52,314.0,0.0,1.0,167.0,,,,
2019-07-31,400.25,-0.04876042041190143,corn,ZC=F,115.0775909090909,2.1,13.305909090909092,0.33,162.0,0.0,4.0,9.0,,,,
2019-08-31,358.0,-0.11155636547612335,corn,ZC=F,117.10038636363637,1.95,18.97909090909091,0.19,213.0,0.0,6.0,25.0,,,,
2019-09-30,388.0,0.08047235322257329,corn,ZC=F,117.32392,1.89,15.559000000000001,0.23,244.0,0.0,0.0,72.0,,,,
2019-10-31,390.0,0.005141399500418586,corn,ZC=F,116.74625909090909,1.65,15.466521739130435,0.39,75.0,0.0,10.0,7.0,,,,
2019-11-30,371.25,-0.0492710490067827,corn,ZC=F,116.55946842105263,1.54,12.5235,0.58,29.0,0.0,4.0,0.0,,,,
2019-12-31,387.75,0.04348511193973881,corn,ZC=F,115.90961,1.54,13.756666666666666,0.66,47.0,0.0,0.0,0.0,,,,
2020-01-31,381.25,-0.016905474135026743,corn,ZC=F,115.27938571428571,1.52,13.94095238095238,0.64,138.0,0.0,0.0,18.0,,,,
2020-02-29,366.5,-0.03945680659491568,corn,ZC=F,116.71054210526317,1.52,19.628947368421052,0.63,0.0,0.0,0.0,0.0,,,,
2020-03-31,340.75,-0.07284945075006366,corn,ZC=F,121.02274090909091,0.29,57.73681818181819,0.53,5842.0,0.0,1.0,3.0,,,,
2020-04-30,311.5,-0.08974973234913453,corn,ZC=F,123.28034545454544,0.14,41.453809523809525,0.3,2138.0,0.0,0.0,19.0,,,,
2020-05-31,325.75,0.044730877777446665,corn,ZC=F,122.61501000000001,0.13,30.897000000000002,0.01,63.0,0.0,5.0,0.0,,,,
2020-06-30,338.5,0.03839387634737523,corn,ZC=F,119.67660454545454,0.16,31.119545454545456,-0.23,72.0,0.0,8.0,0.0,,,,
2020-07-31,316.0,-0.0687818787654173,corn,ZC=F,118.69004999999999,0.13,26.840454545454545,-0.36,229.0,0.0,5.0,20.0,,,,
2020-08-31,348.5,0.09789601661366643,corn,ZC=F,116.94534761904762,0.1,22.88952380952381,-0.53,571.0,0.0,51.0,0.0,,,,
2020-09-30,379.0,0.08389797488184758,corn,ZC=F,116.34313333333334,0.11,27.64761904761905,-0.85,286.0,0.0,83.0,0.0,,,,
2020-10-31,398.5,0.05017129314784352,corn,ZC=F,115.77981428571428,0.1,29.438636363636363,-1.12,283.0,0.0,18.0,0.0,,,,
2020-11-30,419.75,0.05195179772738001,corn,ZC=F,114.09840000000001,0.09,24.9955,-1.2,15.0,0.0,1.0,1.0,,,,
2020-12-31,484.0,0.1424256107589823,corn,ZC=F,111.89921428571428,0.09,22.37409090909091,-1.08,75.0,0.0,1.0,0.0,,,,
2021-01-31,547.0,0.122363895705349,corn,ZC=F,111.48727222222222,0.08,24.91,-0.91,74.0,0.0,2.0,0.0,,,,
2021-02-28,555.5,0.015419806657703816,corn,ZC=F,112.01705263157895,0.04,23.140526315789476,-0.79,747.0,0.0,12.0,0.0,,,,
2021-03-31,564.25,0.0156288066179604,corn,ZC=F,113.33664347826087,0.03,21.84304347826087,-0.71,134.0,0.0,1.0,0.0,,,,
2021-04-30,740.0,0.27115277050056985,corn,ZC=F,112.63228636363637,0.02,17.416190476190476,-0.55,96.0,0.0,2.0,50.0,,,,
